Gene.Names	N1	N2	N3	N4	T6	T3	T1	T2	T4	T5	T7
ELANE	4.88E+08	0	0	39200000	10400000	2.93E+08	6.25E+08	28200000	30700000	52700000	6.71E+08
PXDN	3010800	4543500	0	3201700	1.35E+10	8.37E+08	4.15E+09	6546500	8.18E+08	1.22E+08	2585700
BLOC1S3	32900000	22700000	54700000	0	5177800	0	0	0	0	0	0
LTF	1.69E+11	9.18E+10	1.58E+11	3.59E+10	2.80E+08	3.65E+10	7.86E+09	7.78E+09	3.92E+09	6.54E+10	2.04E+10
LTBP1	0	0	0	9828600	18500000	29200000	5.27E+08	1.64E+08	20100000	3093600	0
C4BPA	1.32E+08	4.99E+08	1.11E+08	7.53E+08	2.26E+08	2.34E+09	2.45E+09	2.19E+09	5.66E+08	2.77E+09	8.47E+08
CST2	1.44E+08	13300000	14900000	0	5218300	0	0	0	0	0	0
C8G	0	0	0	13900000	68200000	13200000	57600000	1.27E+08	11900000	38900000	0
CAND1	1.97E+08	0	0	4.21E+08	7.96E+08	2.56E+08	17100000	80400000	6.63E+08	1.62E+08	24500000
AKAP12	57500000	1.42E+08	1.40E+08	75300000	7122600	28100000	7862700	20500000	29400000	6.60E+07	52900000
FBN2	0	46800000	0	0	1.44E+08	62100000	77900000	2.83E+08	71300000	45700000	0
TOMM40	0	0	0	10900000	1.78E+08	10700000	25200000	26300000	28800000	19600000	0
HSP90AB2P	0	0	0	37200000	2.28E+08	83900000	42500000	92600000	40200000	36500000	0
CMPK1	3.25E+08	5.03E+08	5.17E+08	1.08E+08	3.87E+08	93100000	36700000	11700000	53700000	2.63E+08	28600000
MSH2	0	0	0	33200000	20500000	45900000	70600000	6.96E+08	1.24E+08	11800000	0
CHL1	8288700	26400000	2.12E+08	0	0	0	4956100	0	0	0	0
METAP2	0	76200000	4423900	2591300	0	1940200	0	0	0	0	0
MCEE	20900000	56400000	1.57E+08	13100000	0	6007700	6402600	5551400	0	0	0
NDUFB3	29100000	0	23100000	10900000	0	5332600	0	0	0	0	0
FAHD2A	2.15E+08	1.26E+08	3.63E+08	29200000	0	13700000	0	0	21500000	77100000	0
RABL6	22300000	19100000	0	18300000	0	0	0	0	6560200	0	0
HSPA13	8171900	12800000	26700000	0	6828800	0	0	0	0	0	0
CASP1	16700000	19600000	0	8864700	0	0	3847800	0	0	0	0
OPTN	10900000	3935800	0	5542200	0	2360100	0	0	0	0	0
PIK3AP1	37200000	46800000	24200000	0	0	0	0	9166800	0	0	0
GFPT1	5.43E+08	5736600	0	34200000	18900000	0	0	0	0	0	0
STK39	2.49E+08	61800000	93700000	27100000	0	6867600	11600000	0	0	58800000	0
SKP1	68100000	1.15E+08	2.09E+08	18700000	0	3822800	0	0	62800000	22900000	0
PIP	2.03E+10	6.29E+09	1.44E+10	5.15E+08	23200000	2.09E+09	6.57E+08	1.34E+08	2.51E+08	6.03E+09	2.61E+08
LOX	0	0	5553100	0	3723700	9744200	16800000	3.81E+08	4685000	8030300	0
CRELD2	86700000	16200000	15900000	17300000	0	6006000	6956800	0	0	2126700	0
GPC6	0	0	0	5876500	27400000	1.30E+07	4443600	7048100	5150000	23600000	0
CD2AP	7550900	25100000	8.40E+07	0	0	0	0	0	12400000	0	0
SELENBP1	1.33E+09	2.51E+09	1.60E+09	9.74E+08	1751300	4.24E+08	2.48E+08	18900000	98800000	8.18E+08	4.13E+08
LGALSL	7558700	4311800	5821300	0	3962400	0	0	0	0	0	0
ARFGAP1	1.60E+07	16600000	41500000	0	13800000	0	0	0	0	0	0
FIS1	16300000	1068000	7822000	0	0	2612300	0	0	0	0	0
SLC9A3R2	3814400	8527400	8540900	0	4635400	0	0	0	0	0	0
LHPP	83200000	83100000	46600000	46600000	0	0	0	5373700	13400000	41800000	0
TMSB4X	32900000	0	31800000	36700000	0	0	12200000	0	0	0	0
HDLBP	6.19E+08	1.09E+09	3.33E+08	2.12E+08	5.35E+08	1.14E+08	32600000	1966900	1.90E+08	1.87E+08	24500000
HDHD3	20900000	3.60E+07	24400000	0	0	13900000	0	0	0	0	0
LRG1	0	9219200	2.60E+07	21600000	0	0	0	0	0	6957100	0
DCXR	2.15E+08	1.05E+08	62200000	34600000	15100000	0	0	0	5.00E+07	23700000	0
RABEP1	0	2237900	13600000	9611600	0	0	2854900	0	0	0	0
UQCR10	13600000	16200000	1.80E+07	0	0	0	7109100	0	0	0	0
ISYNA1	0	0	0	4852100	16100000	7064300	0	1523700	39600000	4110200	9457800
SAFB	2.61E+08	1.65E+08	2.58E+08	1.27E+08	1.53E+08	12900000	0	0	2.45E+08	0	0
GALM	0	27600000	24900000	15300000	0	0	0	0	0	9813800	0
FAU	2.00E+07	13800000	45100000	0	0	0	0	0	16200000	0	0
HCLS1	10300000	17800000	1.78E+08	54300000	0	0	20400000	7882100	3528900	0	0
MIA2	0	1794400	8363900	1616700	0	1924000	0	0	0	0	0
AGK	0	0	0	41100000	1.15E+08	1.03E+08	9470700	12500000	45500000	15700000	0
NT5C2	0	0	0	14600000	3.44E+08	8089600	21800000	7948100	7233100	4896100	0
MYO1F	0	0	0	10900000	52600000	19100000	4.80E+07	6944500	1560800	9171300	0
MRPL12	6495700	2.00E+07	55500000	0	0	0	0	0	1.50E+07	0	0
IGHV1-8	1.13E+08	38800000	27500000	28800000	3845600	0	0	0	0	13500000	24100000
COMP	94200000	0	0	0	97500000	1.38E+08	7845500	8.03E+08	32400000	35700000	0
SNAP23	17600000	0	34800000	1.30E+07	0	13900000	0	0	0	0	0
DTX3L	0	8135600	6003600	5650200	0	0	3721000	0	0	0	0
SDC1	15200000	0	23400000	21500000	18700000	0	0	0	0	0	0
DDAH1	9951200	1.85E+08	1.37E+08	3142300	0	9503700	0	7496700	5712900	0	0
CRYAB	1.06E+09	1.10E+09	1.05E+09	2.01E+08	4084000	2.33E+08	81100000	1.30E+08	22800000	3.07E+08	2.67E+08
RPL26	2.16E+08	37400000	66200000	4333000	16500000	0	0	2472300	39200000	0	0
OPRPN	33500000	54700000	2.25E+08	0	0	0	0	0	0	4.30E+07	0
PSMB4	9.60E+07	2.14E+08	55800000	61700000	0	35400000	24800000	0	38800000	0	0
TTC1	13500000	12800000	36300000	5249800	2906100	0	0	0	7472700	2194000	0
AEBP1	0	2.86E+08	30800000	17200000	7.52E+08	2.38E+09	4.72E+09	7.90E+09	1.54E+09	1.77E+09	5.19E+08
RHOG	0	0	0	1.13E+08	45300000	88100000	51300000	36100000	48800000	27200000	0
PHYHD1	41500000	62300000	48500000	0	0	0	3.90E+07	0	0	0	0
TARS1	2.65E+08	1.10E+07	16500000	1.16E+08	1.59E+09	92700000	1.69E+08	3.70E+08	2.04E+08	80700000	2.16E+08
SERBP1	80800000	1.14E+08	1.97E+08	18800000	1.07E+08	4645700	0	0	1.10E+08	0	0
GALK1	45500000	59800000	2.05E+08	15400000	0	0	0	20300000	14600000	25500000	0
ALDH16A1	0	0	0	48600000	28300000	3.90E+07	26900000	4541000	33200000	25700000	0
MAPK1	0	0	0	71600000	5.60E+07	1.01E+08	0	31200000	13100000	15700000	12100000
RPL17	3.21E+08	2.11E+08	4.17E+08	1.52E+08	1.76E+08	1.31E+08	56600000	16500000	5466400	1.28E+08	77600000
MYOF	17100000	13600000	20600000	4.04E+08	2.94E+08	5.55E+08	4.80E+07	4.95E+08	1.34E+09	95500000	38200000
GMDS	1.04E+09	5.30E+08	4.48E+08	69600000	2.16E+08	1.20E+08	1.30E+07	1.41E+08	98100000	1.89E+08	29400000
LSM5	12700000	5729200	45600000	0	0	0	0	0	24100000	0	0
SON	13300000	33700000	41500000	0	0	0	0	0	46100000	0	0
CAST	4.50E+07	38800000	1.84E+08	5817300	30200000	6117100	0	0	29300000	0	0
AGPAT1	0	0	0	4791100	4026400	15300000	2591500	2757300	3971900	3634200	0
NUDT9	18800000	12200000	4.60E+07	0	0	0	0	0	0	0	24500000
